model,k-shot,kw_context,vl_propform,acc_mean,prec_mean,rec_mean,f1_mean,var_by_acc,var_by_f1
LLaMA,2,0,0,0.557,0.614,0.557,0.496,0.000797,0.006552
LLaMA,2,0,1,0.545,0.627,0.545,0.464,0.000922,0.009128
LLaMA,2,1,0,0.546,0.619,0.546,0.475,0.000553,0.006942
LLaMA,2,1,1,0.531,0.647,0.531,0.432,0.000664,0.008772
LLaMA,6,0,0,0.582,0.623,0.582,0.543,0.00049,0.002668
LLaMA,6,0,1,0.568,0.624,0.568,0.514,0.000494,0.003697
LLaMA,6,1,0,0.57,0.608,0.57,0.527,0.00052,0.002926
LLaMA,6,1,1,0.55,0.617,0.55,0.477,0.000697,0.006065
LLaMA,10,0,0,0.582,0.631,0.582,0.539,0.00042,0.002351
LLaMA,10,0,1,0.563,0.626,0.563,0.501,0.000823,0.005019
LLaMA,10,1,0,0.567,0.624,0.567,0.514,0.000677,0.004007
LLaMA,10,1,1,0.544,0.626,0.544,0.464,0.000832,0.007899
Mistral,2,0,0,0.525,0.552,0.525,0.448,0.000143,0.002393
Mistral,2,0,1,0.53,0.559,0.53,0.458,0.000283,0.003419
Mistral,2,1,0,0.503,0.516,0.503,0.37,6e-06,0.000512
Mistral,2,1,1,0.512,0.533,0.512,0.408,6.2e-05,0.00141
Mistral,6,0,0,0.531,0.586,0.531,0.44,0.000271,0.00277
Mistral,6,0,1,0.551,0.588,0.551,0.489,0.000811,0.005886
Mistral,6,1,0,0.509,0.553,0.509,0.379,4e-05,0.000777
Mistral,6,1,1,0.526,0.566,0.526,0.435,0.000201,0.002344
Mistral,10,0,0,0.538,0.594,0.538,0.442,0.000363,0.0028
Mistral,10,0,1,0.556,0.601,0.556,0.484,0.000536,0.004004
Mistral,10,1,0,0.516,0.561,0.516,0.404,0.000108,0.001568
Mistral,10,1,1,0.521,0.568,0.521,0.415,0.000185,0.002225
Qwen,2,0,0,0.612,0.636,0.612,0.594,1.2e-05,3.9e-05
Qwen,2,0,1,0.615,0.641,0.615,0.596,4e-06,2.5e-05
Qwen,2,1,0,0.579,0.632,0.579,0.532,2e-06,2.8e-05
Qwen,2,1,1,0.584,0.644,0.584,0.536,1.1e-05,6.3e-05
Qwen,6,0,0,0.646,0.673,0.646,0.632,1.4e-05,3.3e-05
Qwen,6,0,1,0.65,0.671,0.65,0.639,7e-06,1.8e-05
Qwen,6,1,0,0.621,0.672,0.621,0.591,4.4e-05,0.000118
Qwen,6,1,1,0.625,0.67,0.625,0.598,3e-05,7.8e-05
Qwen,10,0,0,0.654,0.69,0.654,0.637,3.1e-05,6.3e-05
Qwen,10,0,1,0.63,0.687,0.63,0.6,1.6e-05,5.5e-05
Qwen,10,1,0,0.641,0.68,0.641,0.62,3.8e-05,9e-05
Qwen,10,1,1,0.646,0.681,0.646,0.627,1.5e-05,4.6e-05
